Campeonato,Ano,Ginásio,Categoria
Cheerfest,2016,Brasília Xtreme,C3
Cheerfest,2018,Brasília Xtreme,C2
UBC,2019,Brasília Xtreme,C4
UBC,2019,Brasília Xtreme,A2
Cheerfest,2019,Brasília Xtreme,C2
Cheerfest,2019,Brasília Xtreme,A2
Cheerfest,2019,Brasília Xtreme,A3
Cheerfest,2019,Brasília Xtreme,C4
Arena,2021,Brasília Xtreme,A3
UBC,2022,Brasília Xtreme,ANT2
UBC,2022,Brasília Xtreme,A4
UBC,2022,Brasília Xtreme,C4
Brasileiro,2022,Brasília Xtreme,A4
Brasileiro,2022,Brasília Xtreme,C4
Taça Brasil,2023,Brasília Xtreme,A1
Taça Brasil,2023,Brasília Xtreme,A2NT
Taça Brasil,2023,Brasília Xtreme,C2NT
Taça Brasil,2023,Brasília Xtreme,C3
Taça Brasil,2023,Brasília Xtreme,A4.2
Taça Brasil,2023,Brasília Xtreme,C4
Nacional,2023,Brasília Xtreme,A1
Nacional,2023,Brasília Xtreme,A2NT
Nacional,2023,Brasília Xtreme,C2NT
Nacional,2023,Brasília Xtreme,C3
Nacional,2023,Brasília Xtreme,A4.2
Nacional,2023,Brasília Xtreme,C4
Cheerfest,2023,Brasília Xtreme,A2NT
Cheerfest,2023,Brasília Xtreme,A4.2
Capital Cheer,2018,Brasília Xtreme,C2
Capital Cheer,2018,Brasília Xtreme,A3
Capital Cheer,2018,Brasília Xtreme,C4
Capital Cheer,2019,Brasília Xtreme,C3
Cheerfest,2017,Royal Cheer Rio,C2
Cheerfest,2017,Royal Cheer Rio,A2
Cheerfest,2017,Royal Cheer Rio,C4
Brasileiro,2018,Royal Cheer Rio,C2
Brasileiro,2018,Royal Cheer Rio,C4
Brasileiro,2019,Royal Cheer Rio,A1
Brasileiro,2019,Royal Cheer Rio,C4
Arena,2021,Royal Cheer Rio,C2
Cheerfest,2022,Royal Cheer Rio,C3
Cheerfest,2022,Royal Cheer Rio,C4
Brasileiro,2022,Royal Cheer Rio,C3
Arena,2023,Royal Cheer Rio,C3
Arena RJ,2023,Royal Cheer Rio,A3
Arena RJ,2023,Royal Cheer Rio,C2
Arena RJ,2023,Royal Cheer Rio,A2NT
Arena RJ,2023,Royal Cheer Rio,C3NT
Arena RJ,2023,Royal Cheer Rio,C4
Brasileiro,2023,Royal Cheer Rio,C2
Carioca,2017,Royal Cheer Rio,C2
Carioca,2017,Royal Cheer Rio,C3
Carioca,2017,Royal Cheer Rio,C4
Carioca,2017,Royal Cheer Rio,A2
Carioca,2018,Royal Cheer Rio,C2
Carioca,2019,Royal Cheer Rio,A1
Carioca,2019,Royal Cheer Rio,A2
Carioca,2022,Royal Cheer Rio,C4
Carioca,2023,Royal Cheer Rio,A3
